UserId_Url,UserId,Tweet_Url,Date-Time,Tweets,Comments,Retweets,Likes,Impressions
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718154378400370719,Oct 28,Share your answer,12,1,9,17K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718138020392788440,Oct 28,Share if you solve it,13,8,,15K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718122921108086974,Oct 28,Solve this,6,2,5,8.3K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718107821517230420,Oct 28,Comment your answer,27,6,21,46K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718092721980576152,Oct 28,Enter your answer,16,1,4,12K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1718073013193588868,Oct 28,Solve this one,50,10,26,45K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717926402195169613,Oct 27,Solve it!,49,10,29,53K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717821236338941983,Oct 27,Enter your answer,76,13,36,66K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717873705085468785,Oct 27,Find the value of ?,72,8,31,42K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717821236338941983,Oct 27,Enter your answer,76,13,36,66K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717714739948646837,Oct 27,How do you sleep ?,18,16,61,27K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717729512337862992,Oct 27,Who can  solve it ?,63,7,33,52K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717729512337862992,Oct 27,Who can  solve it ?,63,7,33,52K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717714739948646837,Oct 27,How do you sleep ?,18,16,61,27K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717599705146806334,Oct 26,,35,7,15,32K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717486032202215753,Oct 26,Which number will be come ?,99,10,31,54K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717469440990642444,Oct 26,Comment your answer,3,12,,9K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717433754485227821,Oct 26,What’s the answer ?,14,2,22,16K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717393003248001364,Oct 26,Find the correct shadow,9,11,,9.9K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717350598511669620,Oct 26,What’s the missing number ?,8,2,5,9.1K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717066393265606899,Oct 25,Solve this puzzle!!,70,4,38,48K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717028874880499863,Oct 25,,52,31,113,40K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717024609399132184,Oct 25,Solve this puzzle,10,3,11,13K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1717016233814495600,Oct 25,Enter your answer,6,5,7,8.6K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716864131637346620,Oct 24,What’s the answer ?,103,6,53,42K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716746675619090922,Oct 24,Solve if you are a Genius…,104,6,36,54K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716699793630679054,Oct 24,What is the correct answer ?,29,9,20,32K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716680922073092196,Oct 24,Find the missing numbers,30,2,11,17K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716662045976703050,Oct 24,Enter your answer,145,7,56,83K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716643174976725396,Oct 24,How many triangles?,68,15,23,59K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716621572507627946,Oct 24,Draw only one line to satisfy this equation,10,8,37,43K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716534014805221660,Oct 24,Can you solve it?,8,5,,10K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716527603882877020,Oct 24,Which are the first 2 words you see ?,14,4,,10K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716495636286087365,Oct 23,Math Test,80,1,26,38K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716463842375467235,Oct 23,Enter your answer..,17,8,,10K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716383477757813100,Oct 23,Can you crack the code ?,66,17,120,73K
https://twitter.com/exceleducations,@exceleducations,https://twitter.com/exceleducations/status/1716337240366874661,Oct 23,Enter your answer…,139,16,73,86K
