userId_url,profile_photo,css-4rbku5 href 2,name,UserId,Tweets,Tweet_Url,date-time,css-rs45kua89,attached_media,Comments,Retweets,Likes,css-4rbku5 href 6,comments,css-9pa8cd src 3,css-4rbku5 href 7,css-4rbku5 href 9,r-1p0dtai src,retweets,likes,impressions,r-4qtqp9 src 2
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,Which box will be the right choice?,https://twitter.com/Sidemen/status/1705999065148793098,Sep 24,61,https://pbs.twimg.com/media/F6ztGqkWEAAaWM5?format=jpg&name=small,119,6.7K,384K,https://twitter.com/Sidemen/status/1705999065148793098/media_tags,and 6 others,,,https://twitter.com/Sidemen/status/1705999065148793098/analytics,,ksi,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,"SIDEMEN $100,000 MYSTERY BOX CHALLENGE (YOUTUBER EDITION)",https://twitter.com/Sidemen/status/1705999318300213546,Sep 24,,https://pbs.twimg.com/card_img/1719023126795759616/McSHB8Zk?format=jpg&name=360x360,3,10,501,https://twitter.com/Sidemen/status/1705999318300213546/analytics,104K,,,,,,: Order food NOW at: https://www.eat...,,https://abs-0.twimg.com/emoji/v2/svg/1f357.svg
https://twitter.com/joinsideplus,https://pbs.twimg.com/profile_images/1677691398118600705/el-aO1EN_bigger.jpg,https://twitter.com/joinsideplus,Side+,@joinsideplus,·,https://twitter.com/joinsideplus/status/1705977699783647487,Sep 24,"Last night we released our first Side+ Original 

Thank you, the response has been incredible 

Episode 2 goes live mid next week and the finale will reach you on the weekend",https://pbs.twimg.com/media/F6zZrD2WkAAxtKw?format=jpg&name=small,14,84,2.2K,https://twitter.com/joinsideplus/status/1705977699783647487/analytics,175K,,https://twitter.com/joinsideplus/status/1705977699783647487/media_tags,,,Sidemen,,Thanks for watching,https://abs-0.twimg.com/emoji/v2/svg/1f499.svg
https://twitter.com/joinsideplus,https://pbs.twimg.com/profile_images/1677691398118600705/el-aO1EN_bigger.jpg,https://twitter.com/joinsideplus,Side+,@joinsideplus,·,https://twitter.com/joinsideplus/status/1705671553466196468,Sep 24,"From The Sidelines

The making of the biggest YouTube live event in history",https://pbs.twimg.com/amplify_video_thumb/1705671385136152576/img/LmAUnEyYmbAP-Dmn.jpg,9,95,1.4K,https://twitter.com/joinsideplus/status/1705671553466196468/analytics,146K,,,,blob:https://twitter.com/6e34c3b1-8ec8-453d-83eb-4d3b6f3db8d9,Sidemen,,Episode 1 live now only on Side+,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,"Can’t believe it’s been 2 weeks since the charity match 
What a day it was",https://twitter.com/Sidemen/status/1705571334451761583,Sep 23,,https://pbs.twimg.com/media/F6toFhkWYAAvITB?format=jpg&name=small,41,232,11K,https://twitter.com/Sidemen/status/1705571334451761583/analytics,399K,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,What did you mean by that,https://twitter.com/Sidemen/status/1705284860523184637,Sep 22,16,https://pbs.twimg.com/amplify_video_thumb/1705284783633276928/img/CayhnsElg0cAa9lh.jpg,40,2.5K,198K,,,,,https://twitter.com/Sidemen/status/1705284860523184637/analytics,blob:https://twitter.com/c16dae50-6ec4-48c1-9272-ade9299a4e1d,,,,https://abs-0.twimg.com/emoji/v2/svg/1f605.svg
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Grab yours here,https://twitter.com/Sidemen/status/1703027466137206828,Sep 16,,https://pbs.twimg.com/card_img/1719834497737252864/LHhH2Tek?format=jpg&name=small,1,5,185,https://twitter.com/Sidemen/status/1703027466137206828/analytics,51K,,,,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,@Sidemen,·,"The 2023 Charity Match came to an end with more money raised than ever before - thanks to all of you, our amazing fans and our sponsors!",https://twitter.com/Sidemen/status/1702353729372955005,Sep 14,57,https://pbs.twimg.com/media/F5_5sMQW0AAydnI?format=jpg&name=small,351,17K,611K,,,,,https://twitter.com/Sidemen/status/1702353729372955005/analytics,,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Our player announcements were brought to you by,https://twitter.com/Sidemen/status/1702353733131137167,Sep 14,,https://pbs.twimg.com/card_img/1719258752774217728/ZpkqBKJM?format=png&name=240x240,4,6,453,https://twitter.com/Sidemen/status/1702353733131137167/analytics,63K,,https://t.co/IWP22O0IkP,,,,crunchyroll.com,". If you want to keep helping us raise money, sign up via the link below. For every free signup, at the ultimate home of anime, we will add $9 to the total raised.",
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,When KSI ruined Speed’s chance of scoring,https://twitter.com/Sidemen/status/1702022651479302401,Sep 13,,https://pbs.twimg.com/amplify_video_thumb/1702022467806519296/img/qbvw5FsPSl2-6Xas.jpg,85,295,13K,https://twitter.com/Sidemen/status/1702022651479302401/analytics,735K,,,,blob:https://twitter.com/ab1dfb22-bcac-4f00-bc42-41dad1549a8b,,,,
https://twitter.com/youtooz,https://pbs.twimg.com/profile_images/1587255080557879296/AUFereZ6_bigger.jpg,https://twitter.com/youtooz,youtooz,@youtooz,·,https://twitter.com/youtooz/status/1700568406641070483,Sep 9,SIDEMEN W,https://pbs.twimg.com/media/F5mh8clWgAEF9EY?format=jpg&name=small,15,69,2.6K,https://twitter.com/youtooz/status/1700568406641070483/analytics,299K,,,,,Sidemen,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Played at West Ham’s home ground,https://twitter.com/Sidemen/status/1701227637660602644,Sep 11,,https://pbs.twimg.com/media/F5v5hCzXYAAov_C?format=jpg&name=900x900,126,1.2K,50K,https://twitter.com/Sidemen/status/1701227637660602644/analytics,1.3M,,https://twitter.com/Sidemen/status/1701227637660602644/media_tags,,,,Captained Sidemen FC,Brought his daughter out with him,https://abs-0.twimg.com/emoji/v2/svg/2705.svg
https://twitter.com/FotMob,https://pbs.twimg.com/profile_images/1570026479806717954/KOLTFlS8_bigger.jpg,https://twitter.com/FotMob,FotMob,@FotMob,·,https://twitter.com/FotMob/status/1700549374223237313,Sep 9,Sorry,https://pbs.twimg.com/media/F5mQpHzXIAAh6l8?format=jpg&name=360x360,147,975,36K,https://twitter.com/FotMob/status/1700549374223237313/analytics,4.1M,,,,,Sidemen,,but that could be a record.,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,When KSI ruined Speed’s chance of scoring,https://twitter.com/Sidemen/status/1702022651479302401,Sep 13,,,85,295,13K,https://twitter.com/Sidemen/status/1702022651479302401/analytics,735K,,,,blob:https://twitter.com/ab1dfb22-bcac-4f00-bc42-41dad1549a8b,,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,Still not over Max Fosh pulling out the uno reverse card,https://twitter.com/Sidemen/status/1700898871059120481,Sep 10,,https://pbs.twimg.com/amplify_video_thumb/1700898703110803456/img/xuA20ojR-sE8_FGT.jpg,112,912,27K,https://twitter.com/Sidemen/status/1700898871059120481/analytics,1.5M,,,,blob:https://twitter.com/45cc9276-5eae-4940-81ce-256aa2c7ec32,,,,
https://twitter.com/LarryPKent,https://pbs.twimg.com/profile_images/422767698301304832/b6fkALYz_bigger.jpeg,https://twitter.com/LarryPKent,@LarryPKent,Ad,"Jesus of Nazareth voluntarily died for your sins. If you turn to God in repentance and place your trust in Jesus, God will pardon you. If you will not accept Jesus’ payment, you must pay for your sins. Which do you choose?

Exactly how does this work?",https://t.co/Vxh7g0Qykh?twclid=2-12q6qr220rum096z2skxjsj7w,on-tract.com/heart/,https://,,?twclid=2-12q6qr220rum096z2skxjsj7w,,,,1.7K,,https://twitter.com/LarryPKent/status/1630200373393735692/analytics,,,3.2K,27K,7.7M,
https://twitter.com/miniminter,https://pbs.twimg.com/profile_images/1640809891399979008/B3V1ylDx_bigger.jpg,https://twitter.com/miniminter,Wedgeman Simon,@miniminter,·,https://twitter.com/miniminter/status/1700891402324856938,Sep 10,"Honestly can’t put into words how yesterday felt, but we raised so much money and the day was immense. Thank you everyone",https://pbs.twimg.com/media/F5rHrFzWEAAZhCu?format=jpg&name=small,149,540,37K,https://twitter.com/miniminter/status/1700891402324856938/analytics,1.4M,,,,,Sidemen,,,
https://twitter.com/Sidemen,https://pbs.twimg.com/profile_images/1140596536205877248/2UYQ4X8a_bigger.jpg,https://twitter.com/Sidemen,Sidemen,@Sidemen,got his revenge this year,https://twitter.com/Sidemen/status/1700891681694920855,Sep 10,.,https://pbs.twimg.com/media/F5rH900XMAAuJGq?format=jpg&name=small,80,435,20K,https://twitter.com/Sidemen/status/1700891681694920855/analytics,577K,https://pbs.twimg.com/media/F5rH90QXwAAA2ET?format=jpg&name=small,https://twitter.com/Sidemen/status/1700891681694920855/photo/2,,,,,,
https://twitter.com/KSI,https://pbs.twimg.com/profile_images/1631922736959475713/P543dkC5_bigger.jpg,https://twitter.com/KSI,ksi,@KSI,·,https://twitter.com/KSI/status/1700578586866938222,Sep 10,Me and my sons,https://pbs.twimg.com/media/F5mrNOqXwAAJOfb?format=jpg&name=small,1.3K,8.1K,237K,https://twitter.com/KSI/status/1700578586866938222/analytics,8.2M,,,,,Sidemen,,,
https://twitter.com/Tobjizzle,https://pbs.twimg.com/profile_images/1590644290618892289/oYAR_NzR_bigger.jpg,https://twitter.com/Tobjizzle,Tobi,@Tobjizzle,·,https://twitter.com/Tobjizzle/status/1700574082486481402,Sep 9,My captain,https://pbs.twimg.com/media/F5mnHJ-XMAAYrxK?format=jpg&name=small,77,669,42K,https://twitter.com/Tobjizzle/status/1700574082486481402/analytics,1M,,,,,Sidemen,,,
