css-4rbku5 href 2,UserId,Tweet_Url,Date-time,Tweets,css-4rbku5 href 6,Comments,Retweets,Likes,Impressions,css-4rbku5 3
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1640485381459025920,Mar 28,"We are failing our children. Guns are now the leading cause of death for children in the U.S.

Michelle and I mourn with the students and families of the Covenant School today.",https://t.co/kL0MTO90Ef,17K,25K,123K,10M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1639039601623851009,Mar 24,"To celebrate the 13th anniversary of the Affordable Care Act,",https://twitter.com/BarackObama/status/1639039601623851009/analytics,"and I surprised some folks whose lives have been changed by the law. 

Paul, Mukta, and Sarah — thank you for sharing your powerful stories with us.",,,,@POTUS
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1639039698675937281,Mar 24,"I hope their stories inspire you to help us protect the Affordable Care Act, so Americans everywhere can continue to get the care they need when they need it.",,629,469,3.3K,1.2M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638956749804675109,Mar 23,"Thirteen years ago today, I signed the Affordable Care Act into law.

The night the ACA passed was incredibly meaningful, because we knew the law would have a profound impact on the lives of millions of people. 

And it has.",https://twitter.com/BarackObama/status/1638956749804675109/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638956750886805506,Mar 23,"Since 2010, the ACA has provided more than 40 million Americans access to health care, expanded Medicaid to 40 states to cover millions of low-income adults under 65, and protected more than 100 million people with preexisting conditions from losing their health insurance.",https://twitter.com/BarackObama/status/1638956750886805506/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638956751910215711,Mar 23,"I know so many of you have a story of how access to health care changed your life, in big ways or small. 

At the",,375,728,4.6K,1.2M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638673381556977668,Mar 23,"This week's climate report from the IPCC is an urgent reminder of the limited window we have to deal with the climate crisis. In order to limit temperature rise to 1.5 degrees, it will require everyone to do their part.",https://twitter.com/BarackObama/status/1638673381556977668/analytics,,,,,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638673383926669317,Mar 23,It's also important to note that,https://twitter.com/BarackObama/status/1638673383926669317/analytics,and his administration have taken historic steps that move us closer than before to meeting the moment. That should give us hope that more progress can be achieved.,,,,@POTUS
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638673385097150464,Mar 23,At the,,193,354,2.3K,1.1M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638673382890717184,Mar 23,The impacts of climate change are why we pushed so hard for the Paris Agreement during my time in office—no nation is immune from the harmful effects of this crisis and we all have a role to play in addressing it.,,48,230,1.2K,292K,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1638201718188982278,Mar 21,"Today is the first day of early voting in the Wisconsin Supreme Court election. It's going to be close, so don’t wait until April 4th. Make a plan to vote today and encourage your family and friends to do the same. Find your early vote location:",https://twitter.com/BarackObama/status/1638201718188982278/analytics,,,,,
